symbol,position_id,entry_time,exit_time,signal,trigger,entry_price,exit_price,trend_strength,entry_balance,exit_balance,profit_loss,commission,slippage,stop_loss_price,take_profit_price,breakeven_activated,is_partial_exit,exit_level,remaining_quantity,resolution_timestamp,return_pct,duration,duration_hours
CHILLGUYUSDT,CHILLGUYUSDT_20241213033000_short,2024-12-13 03:30:00,2024-12-13 03:30:00,exit_short,take_profit_1_immediate,0.3166472,0.3068311368,4.480060435186125,25,32.5059020375,7.505902037500003,0.22084796250000002,0.749999999999981,0.31769213576000005,0.3068311368,False,False,0,0,2024-12-13 03:30:00+00:00,30.023608150000015,0 days 00:00:00,0.0
CHILLGUYUSDT,CHILLGUYUSDT_20241213034000_short,2024-12-13 03:40:00,2024-12-13 03:40:00,exit_short,take_profit_1_immediate,0.3211337,0.3111785553,3.9991678460242626,25,32.50590203750002,7.505902037500023,0.22084796250000002,0.749999999999981,0.32219344121000004,0.3111785553,False,False,0,0,2024-12-13 03:40:00+00:00,30.023608150000094,0 days 00:00:00,0.0
CHILLGUYUSDT,CHILLGUYUSDT_20241213034500_short,2024-12-13 03:45:00,2024-12-13 03:45:00,exit_short,take_profit_1_immediate,0.3281127,0.31794120629999995,3.501175859811333,25,32.50590203750002,7.505902037500025,0.22084796249999994,0.7500000000000184,0.32919547191,0.31794120629999995,False,False,0,0,2024-12-13 03:45:00+00:00,30.023608150000104,0 days 00:00:00,0.0
CHILLGUYUSDT,CHILLGUYUSDT_20241217160500_short,2024-12-17 16:05:00,2024-12-17 16:05:00,exit_short,trailing_stop,0.27965850000000003,0.27410156,3.161959406819227,25,29.730613166666675,4.730613166666675,0.2220962807486631,0.7499999999999954,0.2805813730500001,0.27098908650000003,False,False,0,0,,18.9224526666667,0 days 00:00:00,0.0
CHILLGUYUSDT,CHILLGUYUSDT_20241225063000_long,2024-12-25 06:30:00,2024-12-25 06:45:00,exit_long,initial_stop,0.20962699999999998,0.2089352309,3.792585672812047,25,23.94722236375001,-1.0527776362499872,0.22530263625,0.7499999999999866,0.2089352309,0.21612543699999995,False,False,0,0,,-4.211110544999949,0 days 00:15:00,0.25
CHILLGUYUSDT,CHILLGUYUSDT_20250101163000_long,2025-01-01 16:30:00,2025-01-01 16:40:00,exit_long,initial_stop,0.17091119999999999,0.17034719303999998,3.1043787512704903,25,23.947222363749997,-1.0527776362500028,0.22530263624999997,0.7499999999999845,0.17034719303999998,0.17620944719999998,False,False,0,0,,-4.211110545000011,0 days 00:10:00,0.16666666666666666
CHILLGUYUSDT,CHILLGUYUSDT_20250207143000_long,2025-02-07 14:30:00,2025-02-07 14:31:00,exit_long,take_profit_1_immediate,0.034001699999999996,0.03505575269999999,3.836156691352014,25,32.54407703749997,7.5440770374999655,0.22917296249999997,0.7499999999999722,0.03388949439,0.03505575269999999,False,False,0,0,2025-02-07 14:25:00+00:00,30.176308149999866,0 days 00:01:00,0.016666666666666666
CHILLGUYUSDT,CHILLGUYUSDT_20250207143500_long,2025-02-07 14:35:00,2025-02-07 14:55:00,exit_long,initial_stop,0.0342023,0.03408943241,3.3970469415630853,25,23.94722236375003,-1.0527776362499701,0.22530263625000002,0.7499999999999972,0.03408943241,0.0352625713,False,False,0,0,,-4.2111105449998805,0 days 00:20:00,0.3333333333333333
CHILLGUYUSDT,CHILLGUYUSDT_20250225141500_long,2025-02-25 14:15:00,2025-02-25 14:16:00,exit_long,trailing_stop,0.031393899999999995,0.031495720000000005,4.220208829758338,25,25.58721781948889,0.587217819488893,0.2260409664536741,0.7499999999999519,0.03129030013,0.032367110899999996,False,False,0,0,,2.348871277955572,0 days 00:01:00,0.016666666666666666
CHILLGUYUSDT,CHILLGUYUSDT_20250326101000_long,2025-03-26 10:10:00,2025-03-26 10:10:00,exit_long,initial_stop,0.03731159999999999,0.03718847172,5.16358208702838,25,23.94722236375003,-1.0527776362499701,0.22530263624999997,0.749999999999976,0.03718847172,0.03846825959999999,False,False,0,0,,-4.2111105449998805,0 days 00:00:00,0.0
CHILLGUYUSDT,CHILLGUYUSDT_20250326103500_long,2025-03-26 10:35:00,2025-03-26 10:55:00,exit_long,trailing_stop,0.0374119,0.03767526,4.955575509853128,25,26.53867813672925,1.5386781367292504,0.2264693163538874,0.7499999999999873,0.03728844073,0.038571668899999995,False,False,0,0,,6.154712546917001,0 days 00:20:00,0.3333333333333333
CHILLGUYUSDT,CHILLGUYUSDT_20250422135000_long,2025-04-22 13:50:00,2025-04-22 13:50:00,exit_long,take_profit_1_immediate,0.024593559999999997,0.025355960359999995,4.9493873129025,25,32.54407703749998,7.544077037499984,0.22917296249999997,0.7499999999999676,0.024512401251999997,0.025355960359999995,False,False,0,0,2025-04-22 13:50:00+00:00,30.176308149999937,0 days 00:00:00,0.0
CHILLGUYUSDT,CHILLGUYUSDT_20250422135500_long,2025-04-22 13:55:00,2025-04-22 13:55:00,exit_long,trailing_stop,0.02430269,0.024598556,4.685006446846522,25,27.825633917664078,2.825633917664076,0.22704870718118034,0.7499999999999668,0.024222491122999998,0.025056073389999996,False,False,0,0,,11.302535670656304,0 days 00:00:00,0.0
CHILLGUYUSDT,CHILLGUYUSDT_20250422231500_long,2025-04-22 23:15:00,2025-04-22 23:20:00,exit_long,trailing_stop,0.028625619999999997,0.029193343,5.203597725781691,25,29.745133730290842,4.745133730290843,0.22791287097056762,0.749999999999983,0.028531155454,0.029513014219999995,False,False,0,0,,18.980534921163372,0 days 00:05:00,0.08333333333333333
CHILLGUYUSDT,CHILLGUYUSDT_20250422233500_long,2025-04-22 23:35:00,2025-04-22 23:55:00,exit_long,trailing_stop,0.029217389999999996,0.029502320000000002,5.7952331849344665,25,27.218555874528032,2.218555874528031,0.22677539907312047,0.7499999999999676,0.029120972612999996,0.030123129089999992,False,False,0,0,,8.874223498112125,0 days 00:20:00,0.3333333333333333
CHILLGUYUSDT,CHILLGUYUSDT_20250423003500_long,2025-04-23 00:35:00,2025-04-23 00:35:00,exit_long,take_profit_1_immediate,0.03144405,0.03241881555,8.012432814898286,25,32.544077037499996,7.544077037499995,0.22917296249999997,0.7499999999999863,0.031340284635,0.03241881555,False,False,0,0,2025-04-23 00:35:00+00:00,30.17630814999998,0 days 00:00:00,0.0
CHILLGUYUSDT,CHILLGUYUSDT_20250428043000_long,2025-04-28 04:30:00,2025-04-28 04:55:00,exit_long,trailing_stop,0.038846189999999996,0.039409518,8.847920275259288,25,28.408939655305975,3.408939655305976,0.2273113129357087,0.7499999999999689,0.038717997573,0.04005042188999999,False,False,0,0,,13.635758621223903,0 days 00:25:00,0.4166666666666667
CHILLGUYUSDT,CHILLGUYUSDT_20250505080000_long,2025-05-05 08:00:00,2025-05-05 08:00:00,exit_long,initial_stop,0.050822009999999994,0.050654297366999994,3.924232701492194,25,23.94722236375,-1.0527776362500003,0.22530263624999997,0.7499999999999708,0.050654297366999994,0.05239749230999999,False,False,0,0,,-4.211110545000001,0 days 00:00:00,0.0
